filename	utterance	'point_index	f0_value
ExpBase_Sp10_S2_Polar_F_U1.TextGrid	tum muli  khao gi 		9	240.42408740836382
ExpBase_Sp10_S2_Polar_F_U1.TextGrid	tum muli  khao gi 		10	--undefined--
ExpBase_Sp10_S2_Polar_F_U1.TextGrid	tum muli  khao gi 		11	--undefined--
ExpBase_Sp10_S2_Polar_F_U1.TextGrid	tum muli  khao gi 		12	240.57512389820315
ExpBase_Sp10_S2_Polar_F_U1.TextGrid	tum muli  khao gi 		13	229.4362678699547
ExpBase_Sp10_S2_Polar_F_U1.TextGrid	tum muli  khao gi 		14	235.9948096682438
ExpBase_Sp10_S2_Polar_F_U1.TextGrid	tum muli  khao gi 		15	250.048518841066
ExpBase_Sp10_S2_Polar_F_U1.TextGrid	tum muli  khao gi 		16	268.9068083638819
ExpBase_Sp10_S2_Polar_F_U1.TextGrid	tum muli  khao gi 		17	292.37484133393
ExpBase_Sp10_S2_Polar_F_U1.TextGrid	tum muli  khao gi 		18	285.74243023568266
ExpBase_Sp10_S2_Polar_F_U1.TextGrid	tum muli  khao gi 		19	288.84631382787666
ExpBase_Sp10_S2_Polar_F_U1.TextGrid	tum muli  khao gi 		20	--undefined--
ExpBase_Sp10_S2_Polar_F_U2.TextGrid	tum muli  khao gi		1	--undefined--
ExpBase_Sp10_S2_Polar_F_U2.TextGrid	tum muli  khao gi		2	283.6690852262408
ExpBase_Sp10_S2_Polar_F_U2.TextGrid	tum muli  khao gi		3	289.6166387795161
ExpBase_Sp10_S2_Polar_F_U2.TextGrid	tum muli  khao gi		4	289.6666836942326
ExpBase_Sp10_S2_Polar_F_U2.TextGrid	tum muli  khao gi		5	278.6707224967783
ExpBase_Sp10_S2_Polar_F_U2.TextGrid	tum muli  khao gi		6	255.79611786629914
ExpBase_Sp10_S2_Polar_F_U2.TextGrid	tum muli  khao gi		7	242.802746731627
ExpBase_Sp10_S2_Polar_F_U2.TextGrid	tum muli  khao gi		8	251.34931770181734
ExpBase_Sp10_S2_Polar_F_U2.TextGrid	tum muli  khao gi		9	249.41669017908058
ExpBase_Sp10_S2_Polar_F_U2.TextGrid	tum muli  khao gi		10	--undefined--
ExpBase_Sp10_S2_Polar_F_U2.TextGrid	tum muli  khao gi		11	--undefined--
ExpBase_Sp10_S2_Polar_F_U2.TextGrid	tum muli  khao gi		12	231.8476755418555
ExpBase_Sp10_S2_Polar_F_U2.TextGrid	tum muli  khao gi		13	225.6702322894099
ExpBase_Sp10_S2_Polar_F_U2.TextGrid	tum muli  khao gi		14	242.08294953169846
ExpBase_Sp10_S2_Polar_F_U2.TextGrid	tum muli  khao gi		15	258.9238830906858
ExpBase_Sp10_S2_Polar_F_U2.TextGrid	tum muli  khao gi		16	280.41021778077817
ExpBase_Sp10_S2_Polar_F_U2.TextGrid	tum muli  khao gi		17	305.33546938243535
ExpBase_Sp10_S2_Polar_F_U2.TextGrid	tum muli  khao gi		18	303.0482219690335
ExpBase_Sp10_S2_Polar_F_U2.TextGrid	tum muli  khao gi		19	306.4392445479733
ExpBase_Sp10_S2_Polar_F_U2.TextGrid	tum muli  khao gi		20	--undefined--
ExpBase_Sp10_S3_Alt_F_U1.TextGrid	tum mari  jao gi ya bali		1	--undefined--
ExpBase_Sp10_S3_Alt_F_U1.TextGrid	tum mari  jao gi ya bali		2	274.51733120143064
ExpBase_Sp10_S3_Alt_F_U1.TextGrid	tum mari  jao gi ya bali		3	273.6336874972264
ExpBase_Sp10_S3_Alt_F_U1.TextGrid	tum mari  jao gi ya bali		4	254.20012387427838
ExpBase_Sp10_S3_Alt_F_U1.TextGrid	tum mari  jao gi ya bali		5	238.34983578357395
ExpBase_Sp10_S3_Alt_F_U1.TextGrid	tum mari  jao gi ya bali		6	261.63276710186415
ExpBase_Sp10_S3_Alt_F_U1.TextGrid	tum mari  jao gi ya bali		7	225.12063408165753
ExpBase_Sp10_S3_Alt_F_U1.TextGrid	tum mari  jao gi ya bali		8	252.25357220100807
ExpBase_Sp10_S3_Alt_F_U1.TextGrid	tum mari  jao gi ya bali		9	233.03830662352573
ExpBase_Sp10_S3_Alt_F_U1.TextGrid	tum mari  jao gi ya bali		10	235.6877011549501
ExpBase_Sp10_S3_Alt_F_U1.TextGrid	tum mari  jao gi ya bali		11	212.03110224437302
ExpBase_Sp10_S3_Alt_F_U1.TextGrid	tum mari  jao gi ya bali		12	251.5131477587304
ExpBase_Sp10_S3_Alt_F_U1.TextGrid	tum mari  jao gi ya bali		13	273.19187563522235
ExpBase_Sp10_S3_Alt_F_U1.TextGrid	tum mari  jao gi ya bali		14	266.060692137418
ExpBase_Sp10_S3_Alt_F_U1.TextGrid	tum mari  jao gi ya bali		15	237.27064070084998
ExpBase_Sp10_S3_Alt_F_U1.TextGrid	tum mari  jao gi ya bali		16	232.69219664742647
ExpBase_Sp10_S3_Alt_F_U1.TextGrid	tum mari  jao gi ya bali		17	218.18050101399547
ExpBase_Sp10_S3_Alt_F_U1.TextGrid	tum mari  jao gi ya bali		18	205.12838318546883
ExpBase_Sp10_S3_Alt_F_U1.TextGrid	tum mari  jao gi ya bali		19	205.13524372894648
ExpBase_Sp10_S3_Alt_F_U1.TextGrid	tum mari  jao gi ya bali		20	--undefined--
ExpBase_Sp10_S3_Alt_F_U2.TextGrid	tum mari  jao gi ya bali		1	--undefined--
ExpBase_Sp10_S3_Alt_F_U2.TextGrid	tum mari  jao gi ya bali		2	270.6983079100832
ExpBase_Sp10_S3_Alt_F_U2.TextGrid	tum mari  jao gi ya bali		3	260.43966816488114
ExpBase_Sp10_S3_Alt_F_U2.TextGrid	tum mari  jao gi ya bali		4	247.1697623132921
ExpBase_Sp10_S3_Alt_F_U2.TextGrid	tum mari  jao gi ya bali		5	226.8112600894237
ExpBase_Sp10_S3_Alt_F_U2.TextGrid	tum mari  jao gi ya bali		6	273.9218422294493
ExpBase_Sp10_S3_Alt_F_U2.TextGrid	tum mari  jao gi ya bali		7	237.7585444179131
ExpBase_Sp10_S3_Alt_F_U2.TextGrid	tum mari  jao gi ya bali		8	260.4888350399241
ExpBase_Sp10_S3_Alt_F_U2.TextGrid	tum mari  jao gi ya bali		9	247.75991156759198
ExpBase_Sp10_S3_Alt_F_U2.TextGrid	tum mari  jao gi ya bali		10	229.0978249657066
ExpBase_Sp10_S3_Alt_F_U2.TextGrid	tum mari  jao gi ya bali		11	256.7122431474156
ExpBase_Sp10_S3_Alt_F_U2.TextGrid	tum mari  jao gi ya bali		12	295.488258456137
ExpBase_Sp10_S3_Alt_F_U2.TextGrid	tum mari  jao gi ya bali		13	320.3343699417519
ExpBase_Sp10_S3_Alt_F_U2.TextGrid	tum mari  jao gi ya bali		14	253.17212786797376
ExpBase_Sp10_S3_Alt_F_U2.TextGrid	tum mari  jao gi ya bali		15	253.1930075121195
ExpBase_Sp10_S3_Alt_F_U2.TextGrid	tum mari  jao gi ya bali		16	237.94923761008414
ExpBase_Sp10_S3_Alt_F_U2.TextGrid	tum mari  jao gi ya bali		17	213.8127128520614
ExpBase_Sp10_S3_Alt_F_U2.TextGrid	tum mari  jao gi ya bali		18	210.70013111328967
ExpBase_Sp10_S3_Alt_F_U2.TextGrid	tum mari  jao gi ya bali		19	209.03837280612802
ExpBase_Sp10_S3_Alt_F_U2.TextGrid	tum mari  jao gi ya bali		20	--undefined--
ExpBase_Sp10_S3_Polar_F_U1.TextGrid	tum mari  jao gi		1	--undefined--
ExpBase_Sp10_S3_Polar_F_U1.TextGrid	tum mari  jao gi		2	268.6266942797117
ExpBase_Sp10_S3_Polar_F_U1.TextGrid	tum mari  jao gi		3	276.2830462613755
ExpBase_Sp10_S3_Polar_F_U1.TextGrid	tum mari  jao gi		4	271.7074992666363
ExpBase_Sp10_S3_Polar_F_U1.TextGrid	tum mari  jao gi		5	255.56155540535744
ExpBase_Sp10_S3_Polar_F_U1.TextGrid	tum mari  jao gi		6	235.61359730800365
ExpBase_Sp10_S3_Polar_F_U1.TextGrid	tum mari  jao gi		7	222.74544095914908
ExpBase_Sp10_S3_Polar_F_U1.TextGrid	tum mari  jao gi		8	241.8847987408585
ExpBase_Sp10_S3_Polar_F_U1.TextGrid	tum mari  jao gi		9	242.59099543916378
ExpBase_Sp10_S3_Polar_F_U1.TextGrid	tum mari  jao gi		10	214.8325510617499
ExpBase_Sp10_S3_Polar_F_U1.TextGrid	tum mari  jao gi		11	248.1342621089652
ExpBase_Sp10_S3_Polar_F_U1.TextGrid	tum mari  jao gi		12	223.09420008640572
ExpBase_Sp10_S3_Polar_F_U1.TextGrid	tum mari  jao gi		13	224.18010671448718
ExpBase_Sp10_S3_Polar_F_U1.TextGrid	tum mari  jao gi		14	242.6594710828689
ExpBase_Sp10_S3_Polar_F_U1.TextGrid	tum mari  jao gi		15	257.6112413053682
ExpBase_Sp10_S3_Polar_F_U1.TextGrid	tum mari  jao gi		16	263.93257792648
ExpBase_Sp10_S3_Polar_F_U1.TextGrid	tum mari  jao gi		17	290.2031780806399
ExpBase_Sp10_S3_Polar_F_U1.TextGrid	tum mari  jao gi		18	286.19448927501287
ExpBase_Sp10_S3_Polar_F_U1.TextGrid	tum mari  jao gi		19	288.6252245215378
ExpBase_Sp10_S3_Polar_F_U1.TextGrid	tum mari  jao gi		20	--undefined--
ExpBase_Sp10_S3_Polar_F_U2.TextGrid	tum mari  jao gi 		1	--undefined--
ExpBase_Sp10_S3_Polar_F_U2.TextGrid	tum mari  jao gi 		2	282.650815520498
ExpBase_Sp10_S3_Polar_F_U2.TextGrid	tum mari  jao gi 		3	293.01869287903224
ExpBase_Sp10_S3_Polar_F_U2.TextGrid	tum mari  jao gi 		4	285.50265602556834
ExpBase_Sp10_S3_Polar_F_U2.TextGrid	tum mari  jao gi 		5	267.89725903765645
ExpBase_Sp10_S3_Polar_F_U2.TextGrid	tum mari  jao gi 		6	245.81353757010046
ExpBase_Sp10_S3_Polar_F_U2.TextGrid	tum mari  jao gi 		7	238.0902006092926
ExpBase_Sp10_S3_Polar_F_U2.TextGrid	tum mari  jao gi 		8	244.30827357167144
