speaker	sentence	frequency	syntax	VA	dur_VA	abs1_VA	abs1_VA_dur	abs2_VA	abs2_VA_dur	abs3_VA	abs3_VA_dur	AN	dur_AN	abs1_AN	abs1_AN_dur	abs2_AN	abs2_AN_dur	abs3_AN	abs3_AN_dur	verb	V_freq	noun	N_freq	V_A_freq	A_N_freq	ratio_BI	dummy
Sp20	Sn114	fi	aa	ropped_f	0.590	R-V-ORh	0.430	YY	0.030	YY	0.130	lat_p	0.288	A-ONu+glot?	0.180	YY	0.060	YY	0.048	dropped	Vf	planks	Ni	VA_med	AN_med	r_med	XXX
Sp15	Sn160	fi	aa	th+IM	0.150	YY	YY	YY	YY	YY	0.150	in_f	0.230	A-Rh	0.150	YY	YY	YY	0.080	wear	Vf	farthings	Ni	VA_high	AN_low	r_VA_high	XXX
Sp16	Sn116	ii	aa	ropped_f	0.494	YY	0.364	YY	YY	YY	0.130	lat_p	0.285	A-ORh?	0.160	YY	0.080	YY	0.045	cropped	Vi	planks	Ni	VA_low	AN_med	r_med	XXX
Sp17	Sn160	fi	aa	th	0.140	YY	YY	YY	YY	A-On	0.140	in_f	0.270	A-Rh	0.160	YY	YY	N-On	0.110	wear	Vf	farthings	Ni	VA_high	AN_low	r_VA_high	XXX
Sp17	Sn150	fi	aa	l	0.060	YY	YY	YY	YY	A-On	0.060	oose_b	0.216	A-Rh	0.170	YY	YY	N-Cl	0.046	shake	Vf	bobbers	Ni	VA_high	AN_low	r_VA_high	XXX
Sp10	Sn141	ii	bb	ayed	0.224	R-V-Rh	0.224	YY	YY	YY	YY	k_s	0.470	A-Co?	0.200	IM2-RP	0.130	N-On	0.140	bayed	Vi	sissies	Ni	VA_low	AN_low	r_AN_high	XXX
Sp20	Sn120	ii	aa	yes_g	0.509	R-V-Rh	0.442	YY	YY	A-Cl	0.067	reen_p	0.337	R-A-ORh	0.283	YY	YY	?N-Cl	0.054	dyes	Vi	paisley	Ni	VA_med	AN_high	r_med	XXX
Sp10	Sn151	if	bb	l	0.030	YY	YY	YY	YY	A-On	0.030	oose_b	0.780	A-Rh?	0.430	YY	YY	YY	0.040	snakes	Vi	boxes	Nf	VA_med	AN_high	r_AN_high	XXX
Sp17	Sn140	if	bb	ayed(+rel)	0.245	R-V-Rh	0.245	IM1-R	0.01	YY	YY	k_s	0.230	A-Co	0.110	IM2-R(P)?	0.017	N-On	0.120	bayed	Vi	sisters	Nf	VA_low	AN_low	r_AN_high	XXX
Sp10	Sn165	if	bb	ks_l	0.230	YY	0.160	YY	YY	A-On	0.070	ate_m	0.560	A-Rh?	0.220	IM2-RP	0.32	N-On	0.110	lurks	Vi	markets	Nf	VA_low	AN_med	r_AN_high	XXX
